STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,total injuries,DEATHS_DIRECT,DEATHS_INDIRECT,total deaths,DAMAGE_PROPERTY,DAMAGE_CROPS,DAMAGE_PROPERTY_FIXED,DAMAGE_CROPS_FIXED,DAMAGE_SUM,OUR_METRIC
KENTUCKY,May,Flash Flood,MONTGOMERY,0,0,0,0,0,0,0.00K,0.01K,0,10,10,6.66667E-07
KENTUCKY,May,Flash Flood,ROWAN,0,0,0,0,0,0,0.00K,0.01K,0,10,10,6.66667E-07
KENTUCKY,May,Flash Flood,ELLIOTT,0,0,0,0,0,0,0.10K,0.00K,100,0,100,6.66667E-06
KENTUCKY,May,Flash Flood,WHITLEY,0,0,0,0,0,0,0.10K,0.00K,100,0,100,6.66667E-06
MARYLAND,May,Flood,MONTGOMERY,0,0,0,0,0,0,0.10K,0.00K,100,0,100,6.66667E-06
CALIFORNIA,January,Tornado,HUMBOLDT,0,0,0,0,0,0,0.10K,0.00K,100,0,100,6.66667E-06
MISSISSIPPI,September,Tornado,MONTGOMERY,0,0,0,0,0,0,0.10K,0.00K,100,0,100,6.66667E-06
IOWA,May,Tornado,POCAHONTAS,0,0,0,0,0,0,0.00K,0.10K,0,100,100,6.66667E-06
IOWA,May,Tornado,STORY,0,0,0,0,0,0,0.00K,0.10K,0,100,100,6.66667E-06
IOWA,June,Tornado,GREENE,0,0,0,0,0,0,0.00K,0.10K,0,100,100,6.66667E-06
IOWA,June,Tornado,WEBSTER,0,0,0,0,0,0,0.00K,0.10K,0,100,100,6.66667E-06
IOWA,July,Tornado,MARSHALL,0,0,0,0,0,0,0.00K,0.10K,0,100,100,6.66667E-06
IOWA,July,Tornado,WRIGHT,0,0,0,0,0,0,0.00K,0.10K,0,100,100,6.66667E-06
SOUTH CAROLINA,June,Flash Flood,LEXINGTON,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flash Flood,WILSON,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,AIKEN,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,May,Flash Flood,ORANGEBURG,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,May,Flash Flood,ORANGEBURG,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,LANCASTER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,LANCASTER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,LANCASTER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,LANCASTER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,LANCASTER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,LANCASTER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,LANCASTER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,LANCASTER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,LANCASTER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,LANCASTER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,LANCASTER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
