COUNTY,STATE,MEDHOUSEHOLDINCOME
Autauga County, Alabama,55317
Baldwin County, Alabama,52562
Barbour County, Alabama,33368
Bibb County, Alabama,43404
Blount County, Alabama,47412
Bullock County, Alabama,29655
Butler County, Alabama,36326
Calhoun County, Alabama,43686
Chambers County, Alabama,37342
Cherokee County, Alabama,40041
Chilton County, Alabama,43501
Choctaw County, Alabama,32122
Clarke County, Alabama,33827
Clay County, Alabama,37287
Cleburne County, Alabama,37396
Coffee County, Alabama,49821
Colbert County, Alabama,45477
Conecuh County, Alabama,30434
Coosa County, Alabama,34792
Covington County, Alabama,39467
Crenshaw County, Alabama,38937
Cullman County, Alabama,40997
Dale County, Alabama,44711
Dallas County, Alabama,30065
DeKalb County, Alabama,38842
Elmore County, Alabama,54981
Escambia County, Alabama,35026
Etowah County, Alabama,42064
Fayette County, Alabama,36541
Franklin County, Alabama,39501
Geneva County, Alabama,39293
Greene County, Alabama,20954
Hale County, Alabama,34679
Henry County, Alabama,45569
Houston County, Alabama,42803
Jackson County, Alabama,39281
Jefferson County, Alabama,49321
Lamar County, Alabama,36016
Lauderdale County, Alabama,44888
Lawrence County, Alabama,43779
Lee County, Alabama,47564
Limestone County, Alabama,52831
Lowndes County, Alabama,29785
Macon County, Alabama,32308
Madison County, Alabama,61318
Marengo County, Alabama,32255
Marion County, Alabama,35719
Marshall County, Alabama,41104
Mobile County, Alabama,45802
Monroe County, Alabama,26036
Montgomery County, Alabama,46545
Morgan County, Alabama,47529
Perry County, Alabama,22973
Pickens County, Alabama,36220
Pike County, Alabama,35684
Randolph County, Alabama,39485
Russell County, Alabama,38988
St. Clair County, Alabama,53483
Shelby County, Alabama,74063
Sumter County, Alabama,21663
Talladega County, Alabama,39219
Tallapoosa County, Alabama,42181
Tuscaloosa County, Alabama,50513
Walker County, Alabama,38872
Washington County, Alabama,42185
Wilcox County, Alabama,27012
Winston County, Alabama,35362
