STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,Severity
NORTH CAROLINA,September,Flash Flood,BUNCOMBE,1
NORTH CAROLINA,September,Flash Flood,DAVIE,1
NORTH CAROLINA,September,Flash Flood,MCDOWELL,1
NORTH CAROLINA,September,Flash Flood,HENDERSON,1
NORTH CAROLINA,May,Flash Flood,BUNCOMBE,1
NORTH CAROLINA,October,Flash Flood,MCDOWELL,1
NORTH CAROLINA,October,Flash Flood,MCDOWELL,1
NORTH CAROLINA,October,Flash Flood,DAVIE,1
NORTH CAROLINA,October,Flash Flood,WILKES,1
NORTH CAROLINA,January,Flood,TRANSYLVANIA,1
NORTH CAROLINA,February,Flood,TRANSYLVANIA,1
NORTH CAROLINA,September,Flood,ROWAN,1
NORTH CAROLINA,May,Flood,TRANSYLVANIA,1
NORTH CAROLINA,May,Flood,TRANSYLVANIA,1
NORTH CAROLINA,May,Flood,CALDWELL,1
NORTH CAROLINA,December,Flood,MACON,1
NORTH CAROLINA,October,Flood,MCDOWELL,1
NORTH CAROLINA,October,Flood,CALDWELL,1
NORTH CAROLINA,November,Flood,MECKLENBURG,1
NORTH CAROLINA,April,Flash Flood,BURKE,1
NORTH CAROLINA,September,Flash Flood,BURKE,1
NORTH CAROLINA,May,Flash Flood,DAVIE,1
NORTH CAROLINA,May,Flash Flood,MCDOWELL,1
NORTH CAROLINA,May,Flash Flood,SWAIN,1
NORTH CAROLINA,October,Flash Flood,AVERY,1
NORTH CAROLINA,October,Flash Flood,RUTHERFORD,1
NORTH CAROLINA,October,Flash Flood,BUNCOMBE,1
NORTH CAROLINA,October,Flash Flood,CALDWELL,1
NORTH CAROLINA,September,Flood,CALDWELL,1
NORTH CAROLINA,September,Flood,MECKLENBURG,1
NORTH CAROLINA,September,Flood,BURKE,1
NORTH CAROLINA,May,Flood,BURKE,1
NORTH CAROLINA,May,Flood,HENDERSON,1
NORTH CAROLINA,May,Flood,HENDERSON,1
NORTH CAROLINA,August,Flood,MCDOWELL,1
NORTH CAROLINA,September,Flood,CABARRUS,1
NORTH CAROLINA,December,Flood,BURKE,1
NORTH CAROLINA,December,Flood,CABARRUS,1
NORTH CAROLINA,December,Flood,POLK,1
NORTH CAROLINA,October,Flood,CABARRUS,1
NORTH CAROLINA,November,Flood,CABARRUS,1
NORTH CAROLINA,November,Flood,CABARRUS,1
NORTH CAROLINA,October,Tropical Storm,COLUMBUS,1
NORTH CAROLINA,October,Tropical Storm,ALEXANDER,1
NORTH CAROLINA,October,Tropical Storm,CLEVELAND,1
NORTH CAROLINA,October,Tropical Storm,DAVIE,1
NORTH CAROLINA,October,Tropical Storm,GASTON,1
NORTH CAROLINA,October,Tropical Storm,LINCOLN,1
NORTH CAROLINA,October,Tropical Storm,ROWAN,1
NORTH CAROLINA,September,Flash Flood,BURKE,1
NORTH CAROLINA,September,Flash Flood,RUTHERFORD,1
NORTH CAROLINA,September,Flash Flood,BUNCOMBE,1
NORTH CAROLINA,September,Flash Flood,CABARRUS,1
NORTH CAROLINA,May,Flash Flood,BUNCOMBE,1
NORTH CAROLINA,May,Flash Flood,YANCEY,1
NORTH CAROLINA,May,Flash Flood,CALDWELL,1
NORTH CAROLINA,May,Flash Flood,CALDWELL,1
NORTH CAROLINA,May,Flood,POLK,1
NORTH CAROLINA,May,Flood,TRANSYLVANIA,1
