STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,Severity
KENTUCKY,May,Flash Flood,MONTGOMERY,1
KENTUCKY,May,Flash Flood,ROWAN,1
KENTUCKY,May,Flash Flood,ELLIOTT,1
KENTUCKY,May,Flash Flood,WHITLEY,1
MARYLAND,May,Flood,MONTGOMERY,1
CALIFORNIA,January,Tornado,HUMBOLDT,1
MISSISSIPPI,September,Tornado,MONTGOMERY,1
IOWA,May,Tornado,POCAHONTAS,1
IOWA,May,Tornado,STORY,1
IOWA,June,Tornado,GREENE,1
IOWA,June,Tornado,WEBSTER,1
IOWA,July,Tornado,MARSHALL,1
IOWA,July,Tornado,WRIGHT,1
SOUTH CAROLINA,June,Flash Flood,LEXINGTON,1
KANSAS,September,Flash Flood,WILSON,1
SOUTH CAROLINA,September,Flash Flood,AIKEN,1
SOUTH CAROLINA,May,Flash Flood,ORANGEBURG,1
SOUTH CAROLINA,May,Flash Flood,ORANGEBURG,1
SOUTH CAROLINA,September,Flash Flood,LANCASTER,1
SOUTH CAROLINA,September,Flash Flood,LANCASTER,1
SOUTH CAROLINA,September,Flash Flood,LANCASTER,1
SOUTH CAROLINA,September,Flash Flood,LANCASTER,1
SOUTH CAROLINA,September,Flash Flood,LANCASTER,1
SOUTH CAROLINA,September,Flash Flood,LANCASTER,1
SOUTH CAROLINA,September,Flash Flood,LANCASTER,1
SOUTH CAROLINA,September,Flash Flood,LANCASTER,1
SOUTH CAROLINA,September,Flash Flood,LANCASTER,1
SOUTH CAROLINA,September,Flash Flood,LANCASTER,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
SOUTH CAROLINA,September,Flash Flood,LANCASTER,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
SOUTH CAROLINA,September,Flash Flood,CHESTERFIELD,1
GEORGIA,May,Flash Flood,BURKE,1
GEORGIA,May,Flash Flood,BURKE,1
GEORGIA,May,Flash Flood,BURKE,1
SOUTH CAROLINA,May,Flash Flood,ORANGEBURG,1
SOUTH CAROLINA,August,Flash Flood,SUMTER,1
SOUTH CAROLINA,August,Flash Flood,SUMTER,1
SOUTH CAROLINA,September,Flash Flood,LANCASTER,1
SOUTH CAROLINA,November,Flash Flood,RICHLAND,1
KANSAS,May,Flood,RENO,1
KANSAS,May,Flood,LINCOLN,1
KANSAS,September,Flood,BARTON,1
KANSAS,September,Flood,ELLSWORTH,1
KANSAS,September,Flood,RICE,1
KANSAS,September,Flood,KINGMAN,1
KANSAS,September,Flood,RICE,1
KANSAS,September,Flood,RICE,1
KANSAS,September,Flood,HARVEY,1
KANSAS,September,Flood,MCPHERSON,1
KANSAS,September,Flood,MCPHERSON,1
KANSAS,September,Flood,SEDGWICK,1
KANSAS,September,Flood,BUTLER,1
KANSAS,September,Flood,SEDGWICK,1
KANSAS,September,Flood,WILSON,1
KANSAS,September,Flood,WILSON,1
GEORGIA,May,Flood,BURKE,1
KANSAS,September,Flood,ELLSWORTH,1
KANSAS,September,Flood,RENO,1
KANSAS,September,Flood,BUTLER,1
KANSAS,October,Flood,SEDGWICK,1
KANSAS,October,Flood,RICE,1
KANSAS,October,Flood,SEDGWICK,1
KANSAS,October,Flood,SEDGWICK,1
KANSAS,October,Flood,SEDGWICK,1
KANSAS,October,Flood,SEDGWICK,1
KANSAS,October,Flood,SEDGWICK,1
KANSAS,October,Flood,ALLEN,1
KANSAS,October,Flood,CHAUTAUQUA,1
KANSAS,October,Flood,CHAUTAUQUA,1
KANSAS,October,Flood,ALLEN,1
KANSAS,October,Flood,KINGMAN,1
KANSAS,October,Flood,NEOSHO,1
KANSAS,October,Flood,HARPER,1
